Country,Year,NH3_kt,NMVOC_kt,NOx_kt,PM10_kt,PM2_5_kt,SOx_kt,Premature_deaths,Years_of_life_lost,Health_expenditure_per_capita_USD
Austria,2005,79.0,163.0,248.0,38.0,23.0,26.0,7012.0,74381.0,3720.02441406
Austria,2006,79.0,157.0,238.0,38.0,23.0,27.0,,,3899.90722656
Austria,2007,80.0,152.0,232.0,37.0,22.0,23.0,5304.0,57923.0,4484.81640625
Austria,2008,79.0,147.0,218.0,36.0,21.0,20.0,5795.0,62953.0,5080.83740234
Austria,2009,81.0,142.0,205.0,34.0,20.0,15.0,5742.0,63027.0,4939.75878906
Austria,2010,80.0,141.0,206.0,34.0,20.0,16.0,6632.0,73116.0,4815.26953125
Austria,2011,79.0,135.0,198.0,33.0,19.0,15.0,6589.0,73655.0,5191.92333984
Austria,2012,79.0,132.0,193.0,32.0,19.0,15.0,5292.0,56575.0,4983.67724609
Austria,2013,79.0,129.0,194.0,32.0,18.0,14.0,5766.0,61679.0,5251.96826172
Austria,2014,80.0,122.0,187.0,30.0,17.0,15.0,4205.0,46159.0,5418.47558594
Austria,2015,80.0,120.0,184.0,30.0,16.0,14.0,4825.0,49488.0,4649.59667969
Austria,2016,81.0,119.0,177.0,30.0,16.0,13.0,3910.0,41603.0,4758.89892578
Austria,2017,81.0,118.0,167.0,30.0,16.0,13.0,4183.0,42382.0,4999.86962891
Austria,2018,80.0,114.0,155.0,29.0,15.0,12.0,4979.0,50973.0,5394.55908203
Austria,2019,78.0,112.0,146.0,29.0,15.0,11.0,3693.0,37519.0,5313.19287109
Austria,2020,77.0,113.0,124.0,27.0,14.0,10.0,3151.0,29754.0,5569.84130859
Austria,2021,77.0,115.0,123.0,29.0,15.0,11.0,3183.0,31381.0,6554.14257813
Austria,2022,76.0,106.0,115.0,27.0,13.0,11.0,3332.0,31420.0,5897.97607422
Austria,2023,74.0,104.0,109.0,26.0,13.0,11.0,2607.0,25923.0,6267.93164063
Belgium,2005,79.0,202.0,332.0,51.0,35.0,140.0,9325.0,96921.0,3415.64599609
Belgium,2006,78.0,195.0,319.0,51.0,35.0,134.0,,,3547.06835938
Belgium,2007,77.0,185.0,308.0,48.0,33.0,123.0,7131.0,79036.0,4066.2121582
Belgium,2008,74.0,178.0,283.0,46.0,33.0,96.0,8580.0,93369.0,4656.04150391
Belgium,2009,74.0,165.0,252.0,41.0,29.0,74.0,9470.0,104828.0,4755.80859375
Belgium,2010,75.0,164.0,253.0,49.0,31.0,61.0,9770.0,107723.0,4626.02685547
Belgium,2011,73.0,152.0,235.0,37.0,25.0,53.0,9001.0,101086.0,4990.35595703
Belgium,2012,73.0,149.0,223.0,37.0,25.0,47.0,8055.0,85454.0,4763.93505859
Belgium,2013,72.0,145.0,213.0,38.0,26.0,43.0,8620.0,91699.0,5005.64990234
Belgium,2014,71.0,138.0,202.0,33.0,21.0,41.0,6190.0,68137.0,5110.17333984
Belgium,2015,71.0,137.0,203.0,34.0,22.0,41.0,6175.0,64567.0,4465.45556641
Belgium,2016,71.0,133.0,191.0,35.0,22.0,34.0,5736.0,61442.0,4569.640625
Belgium,2017,69.0,131.0,180.0,33.0,21.0,33.0,5648.0,59187.0,4827.59326172
Belgium,2018,69.0,129.0,173.0,33.0,19.0,32.0,5886.0,61184.0,5233.68261719
Belgium,2019,68.0,128.0,161.0,32.0,19.0,30.0,4513.0,47489.0,5087.45654297
Belgium,2020,67.0,132.0,142.0,30.0,17.0,24.0,3900.0,35275.0,5269.40625
